Feature,Mean_Absolute_SHAP
categorical__ward_type_General,0.29103625
numerical__num_diagnoses,0.21265163
numerical__prev_admissions,0.13913119
numerical__charlson_index,0.13828184
numerical__age,0.11271028
categorical__ward_type_ICU,0.10606533
numerical__haemoglobin,0.10117825
categorical__insurance_type_Private,0.09933779
numerical__bpl_card,0.08684007
categorical__admit_type_Emergency,0.08285291
numerical__comorbidity_count,0.06994927
categorical__primary_diag_category_Obstetric,0.030579869
categorical__ward_type_HDU,0.029764174
categorical__insurance_type_Ayushman,0.019247187
categorical__primary_diag_category_Perinatal,0.01643995
categorical__primary_icd10_K80,0.015622844
categorical__primary_icd10_A41,0.014370487
numerical__systolic_bp,0.013745197
categorical__primary_diag_category_Cardiovascular,0.011448279
categorical__primary_icd10_A09,0.010524402
numerical__beds,0.009255236
categorical__primary_icd10_B54,0.008745951
categorical__primary_icd10_J45,0.008550665
categorical__primary_icd10_O80,0.0080572665
numerical__admit_dayofweek,0.0077706
numerical__hba1c,0.0075326865
categorical__primary_icd10_P22,0.00702769
categorical__primary_icd10_J96,0.006996119
categorical__primary_icd10_T14,0.006799872
categorical__primary_icd10_I48,0.0065274797
numerical__creatinine,0.006491207
numerical__has_neoplasm,0.0063381004
categorical__hospital_id_3d59f4a6-ce9c-4945-8f1f-5929f09a7836,0.005293099
numerical__num_procedures,0.004535431
categorical__primary_diag_category_Neoplasm,0.004473341
numerical__admit_month,0.003771329
categorical__primary_icd10_J18,0.0036924013
categorical__hospital_id_ad0ba923-bc16-42a4-a49c-9f8a5ce6e8c1,0.0036386454
categorical__primary_icd10_N39,0.0031040634
categorical__ward_type_NICU,0.0030768209
categorical__patient_state_Andhra Pradesh,0.0029907115
categorical__primary_icd10_K57,0.0024754966
categorical__admit_type_OPD,0.0024241821
categorical__hospital_id_b08067df-ad81-4829-a46f-3332da7739e4,0.0022275874
numerical__admit_year,0.0022133423
categorical__primary_diag_category_Respiratory,0.0021321275
categorical__admit_type_Elective,0.0021086372
categorical__hospital_id_0b90b010-a4b9-443f-a2ca-58033973fc14,0.0021046905
categorical__primary_icd10_G40,0.0017449216
categorical__primary_diag_category_Gastrointestinal,0.0016527735
categorical__hospital_id_4a26ae8a-f238-4e8c-a57b-db8c65be7919,0.0015895035
numerical__has_obstetric,0.0015711965
categorical__tier_tier1,0.0011824416
numerical__has_respiratory,0.0011453511
categorical__primary_icd10_K70,0.0011085878
categorical__primary_diag_category_Neurological,0.0009836674
categorical__insurance_type_ESI,0.0009811061
categorical__hospital_id_eae7c9ec-65c8-4d48-92f3-7da7b3e2b227,0.0009039014
categorical__hospital_id_b22e7b51-2ea6-4611-a8e5-d3d24ec779d8,0.0008551753
categorical__insurance_type_Unknown,0.0007465039
categorical__patient_state_Telangana,0.0007150153
categorical__hospital_id_1501b474-b65f-4e51-845e-2b4e75ddf103,0.0005876298
numerical__has_neurological,0.00056757766
categorical__patient_state_Tamil Nadu,0.00056094135
categorical__hospital_id_c522d48a-f9a9-41c2-9cbb-92969dbfca06,0.00051324593
categorical__gender_M,0.00048145524
categorical__primary_icd10_C18,0.00048024335
categorical__primary_icd10_O34,0.0004774246
categorical__primary_icd10_I50,0.00047500472
categorical__primary_icd10_G35,0.00046662497
categorical__patient_state_Kerala,0.0004556424
categorical__patient_state_Punjab,0.0004473692
categorical__hospital_id_13fff27b-ec37-4afc-b5b3-51fedbc8b57e,0.00043583423
categorical__hospital_id_5da80ca2-9cd0-405a-aeaa-a20d7f9e0154,0.00042162093
categorical__hospital_id_94fcd4c9-f30d-4e64-a627-84d30118ca7c,0.00041407454
numerical__has_infectious,0.0004049526
categorical__hospital_id_7904ed71-f3b9-4a59-872b-5b1065ef7fb1,0.0003987867
categorical__patient_state_Madhya Pradesh,0.00036111104
categorical__hospital_id_e698154c-39f9-44e0-880b-ffa8cf712a87,0.0003604287
categorical__hospital_id_fe7c70a4-5806-45e4-9ec8-3a329d41ee5a,0.00035943533
categorical__primary_diag_category_Genitourinary,0.00034522748
categorical__patient_state_Maharashtra,0.0003356046
numerical__has_endocrine,0.0003239279
categorical__patient_state_Gujarat,0.0003200608
categorical__gender_F,0.00029645453
categorical__hospital_id_07be5257-4d9e-4a9f-a5d3-78150979fb72,0.00028076777
numerical__teaching,0.00025980963
categorical__hospital_id_72a121a0-e938-4373-8839-fc3a2a35fa6e,0.00025646298
categorical__primary_icd10_S06,0.00025412673
categorical__primary_icd10_I10,0.0002443131
numerical__has_gastrointestinal,0.00023108025
categorical__patient_state_Odisha,0.00022943161
categorical__hospital_id_38925740-3bf1-4649-8b8b-ae114bf3677e,0.00022458177
categorical__hospital_id_940aa29b-4c6a-40d1-8248-bef07d4add4d,0.00021734423
numerical__has_cardiovascular,0.000215646
categorical__tier_tier3,0.00016346012
categorical__patient_state_Karnataka,0.00015500882
categorical__patient_state_West Bengal,0.00014343308
categorical__hospital_id_d7a59112-7a8d-4ebf-b0b0-b5908358a10a,0.0001388815
categorical__primary_icd10_C34,0.00013716778
numerical__has_injury,0.00011392536
categorical__primary_icd10_E11,0.00011111271
categorical__hospital_id_df4431ea-1acf-4e77-963c-6173e9787151,0.000109302295
categorical__hospital_id_df0f948a-2202-459a-ba6f-7ffd7dedcc18,0.000106485364
categorical__hospital_id_422f6ed3-147b-4f1a-815b-7a383a181a13,9.558823e-05
categorical__primary_icd10_A15,9.053404e-05
categorical__hospital_id_aac12881-4dea-42f3-bf32-8add9d5eee49,8.809981e-05
categorical__patient_state_Rajasthan,8.8060304e-05
categorical__hospital_id_28879338-cd09-48bb-bedb-730b8ee8ab4e,8.66053e-05
categorical__patient_state_Bihar,8.1994556e-05
numerical__has_genitourinary,7.576309e-05
categorical__hospital_id_8b733042-ab27-4916-a245-cfc6fe35c6d5,7.5454154e-05
categorical__hospital_id_ec4cfe51-9dc6-4c37-aa71-6a806ad081a7,7.220408e-05
categorical__hospital_id_2f5c9dbb-cef7-46a2-8f35-ac5bdc0232c6,7.044784e-05
categorical__primary_icd10_S72,6.710659e-05
categorical__hospital_id_f0bb4c45-e80c-42f8-887d-c76610eb638f,6.266979e-05
categorical__primary_icd10_E87,5.9387134e-05
categorical__primary_icd10_J44,5.286193e-05
categorical__hospital_id_8b636965-b70d-4041-8c47-491d8a8a20f8,0.0
categorical__hospital_id_c78a3d62-36c7-4f33-b76b-3a9020611d24,0.0
categorical__hospital_id_8b1e01b7-9f0e-413f-b330-454d271a5c6e,0.0
categorical__primary_icd10_P07,0.0
categorical__primary_icd10_N18,0.0
categorical__primary_icd10_I63,0.0
categorical__primary_icd10_I21,0.0
categorical__primary_icd10_E10,0.0
categorical__primary_icd10_C50,0.0
categorical__primary_icd10_A91,0.0
categorical__hospital_id_a86650ea-3517-4285-bc11-ffa2085a8df2,0.0
categorical__patient_state_Uttar Pradesh,0.0
categorical__patient_state_Haryana,0.0
categorical__primary_diag_category_Endocrine,0.0
categorical__gender_Other,0.0
categorical__primary_diag_category_Injury,0.0
categorical__primary_diag_category_Infectious,0.0
categorical__tier_tier2,0.0
numerical__has_perinatal,0.0
